"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
firma_invest,consentimiento_de_participacin_en_una_investigacin,,file,"Firma del Investigador o Designado ",,,signature,,,y,,y,,,,,
fecha_invest,consentimiento_de_participacin_en_una_investigacin,,text,Fecha,,,datetime_dmy,,,,,y,,,,,
nombre_invest,consentimiento_de_participacin_en_una_investigacin,,text,"Nombre Impreso",,,,,,y,,y,,,,,
firma_testigo,consentimiento_de_participacin_en_una_investigacin,,file,"Firma del Testigo",,,signature,,,y,,y,,,,,
fecha_testigo,consentimiento_de_participacin_en_una_investigacin,,text,Fecha,,,datetime_dmy,,,,,y,,,,,
nombre_testigo,consentimiento_de_participacin_en_una_investigacin,,text,"Nombre Impreso",,,,,,y,,y,,,,,
relacion_testigo,consentimiento_de_participacin_en_una_investigacin,,text,"Relación del Testigo al Participante",,,,,,,,y,,,,,
direccion_testigo,consentimiento_de_participacin_en_una_investigacin,,text,"<div class=""rich-text-field-label""><p>Dirección del Testigo</p> <p><img style=""float: right;"" src=""https://redcap.husi.org.co/redcap_v13.4.10/DataEntry/image_view.php?pid=1100&id=53696&doc_id_hash=3b72dc782d96758c0f9770ee1fe3934eebc57084"" alt="""" width=""92"" height=""85"" /></p></div>",,,,,,,,y,,,,,
pdf,consentimiento_de_participacin_en_una_investigacin,,file,PDF,,,,,,,,,RH,,,,
fechaelaimicopre_4a7453,imico_administrativo_pre,,text,"<div class=""rich-text-field-label""><p>Fecha de elaboración</p></div>",,,date_dmy,,,,,,,,,,
nombre_centro1,imico_administrativo_pre,,text,"Centro de atención primaria",,,,,,,,y,,,,,
pdescription_imicopre_2928d5,imico_administrativo_pre,,descriptive,"El programa (DIADA) ofrece detección y tratamiento para la depresión, problemas por el uso de alcohol y ansiedad en atención primaria para personas que asisten {nombre_centro1} (nombre de centro de atención primaria). En la sala de espera, los pacientes responderán un breve cuestionario y el médico de atención primaria durante la visita examinará a las personas que tienen riesgo de depresión, problemas con el uso de alcohol y/o ansiedad y determinará si existe o no un problema clínico. 

Junto con el médico de atención primaria y el equipo de atención primaria, el paciente decidirá el tipo de tratamiento o manejo del problema. Las opciones para las condiciones de interés incluyen medicamentos, psicoterapia o el uso de una aplicación móvil (app). Esta aplicación puede ser utilizada por el paciente en cualquier momento, e incluye estrategias para manejar pensamientos o comportamientos relacionados con la depresión y ansiedad, así como la promoción de estilos de vida saludables y el autocontrol de conductas no saludables. Los pacientes que desean disminuir su patrón de riesgo de consumo de alcohol también pueden usar la aplicación.

El programa será coordinado por el equipo del centro de atención primaria y se espera que dure un año. Durante ese tiempo, se espera que los pacientes que ingresaron al programa respondan llamadas telefónicas cada tres meses para realizar un seguimiento a su diagnóstico y a las citas que le sean asignadas. El equipo hará un seguimiento activo de su progreso y consultará con un psiquiatra cuando no respondan bien al tratamiento. Se puede recomendar la remisión a un tratamiento especializado como resultado de la consulta entre el equipo primario y el psiquiatra.
",,,,,,,,,,,,,
intro_2,imico_administrativo_pre,,descriptive,"Las preguntas que siguen son acerca de sus opiniones y experiencias con los servicios de salud mental que su organización provee. Cuando utilizo el término ""organización"" me refiero a la organización para la que usted trabaja.
Por favor, responda a cada pregunta con su mejor conocimiento. Si no sabe o no tiene una opinión sobre una pregunta, por favor, indíquelo.",,,,,,,,,,,,,
id1_11,imico_administrativo_pre,,radio,"Tipo de documento","1, Cédula de ciudadanía | 2, Cédula de extranjería",,,,,,,,,,,,
id1_2,imico_administrativo_pre,,text,"Número de identificación",,,,,,,,,,,,,
sexo_pre_798772,imico_administrativo_pre,,dropdown,"Sexo (al nacer)
","1, Masculino | 2, Femenino | 3, Prefiere no responder",,,,,,,y,,,,,
fechanaci_pre_a44d25,imico_administrativo_pre,,text,"Fecha de nacimiento

",,,date_dmy,,,,,,,,,,
diferencial_pre_e6b3bb,imico_administrativo_pre,,dropdown,"De acuerdo con su cultura, lugar de residencia o características físicas, usted se reconoce como:","7, Indígena | 8, Palenquero | 9, Raizal | 10, Negro (Afro-colombiano) | 11, Gitano (Rom) | 12, Mestizo | 13, Blanco | 14, Ninguno de los anteriores | 15, Prefiero no responder",,,,,,,y,,,,,
estudio_1,imico_administrativo_pre,,dropdown,"¿Cuál es su nivel educativo?","1, Ninguno | 2, Primaria incompleta | 3, Primaria completa | 4, Secundaria incompleta | 5, Secundaria completa | 6, Técnico o Tecnólogo | 7, Universitario sin título | 8, Universitario con título | 9, Posgrado sin título | 10, Posgrado con título",,,,,,,y,,,,,
cimico14_0a28bb,imico_administrativo_pre,"1. Adopción",radio,"¿Usted cree que discutirá con otras personas (por ejemplo, familiares, amigos, compañeros de trabajo, o cualquiera otra gente) lo que es el programa en términos generales?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
cimico15_0a28bb,imico_administrativo_pre,,radio,"¿Usted cree que discutirá con otras personas (por ejemplo, familiares, amigos, compañeros de trabajo, o cualquiera otra gente) cómo el PROGRAMA puede ayudar a la gente?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
cimico16_0a28bb,imico_administrativo_pre,,radio,"¿Usted cree que discutirá con otros empleados lo que necesita la organización hacer para seguir usando EL PROGRAMA en el futuro?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
cimico17_0a28bb,imico_administrativo_pre,,radio,"¿Usted cree que alentará a otras personas fuera de su organización (por ejemplo, familiares, amigos o cualquiera otra persona) a apoyar el PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
cimico18_0a28bb,imico_administrativo_pre,,radio,"¿Tendrá usted un papel en apoyar directamente al PROGRAMA (Ejemplos, pero no limitado a: ayudar en las solicitudes de transporte, facilitar espacios privados o salas de reuniones, organizar reembolsos por transporte y crédito telefónico, etc.)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
cimico19_0a28bb,imico_administrativo_pre,,radio,"¿Usted cree que apoyará el uso del PROGRAMA en el futuro?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
cimico20_0a28bb,imico_administrativo_pre,,radio,"¿Usted cree que discutirá con otras personas (por ejemplo, familiares, amigos, compañeros de trabajo, o cualquiera otra gente) cómo el PROGRAMA puede ayudar a las personas con sus problemas de salud mental?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
cimico21_0a28bb,imico_administrativo_pre,,radio,"¿Usted cree que discutirá con otros empleados sobre cómo asegurar el uso continuo del PROGRAMA dentro de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
cimico22_0a28bb,imico_administrativo_pre,,radio,"¿Usted cree que discutirá la importancia del PROGRAMA con otras personas fuera de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
cimico23_0a28bb,imico_administrativo_pre,,radio,"¿Usted cree que ayudará para que EL PROGRAMA sea de alta prioridad para la organización en el futuro?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico_7e94d4,,
prioridad,imico_administrativo_pre,,text,"Si el encuestado responde ""De ningún modo"" o ""Un poco"" continúe con esta pregunta ¿Por qué no sería de alta prioridad?",,,,,,,"[cimico23_0a28bb] = '1' or [cimico23_0a28bb] = '2'",y,,,,,
cimico201_fb34c8,imico_administrativo_pre,"2. Aceptabilidad

SATISFACCIÓN CON EL PROGRAMA DENTRO DE LA ORGANIZACIÓN",radio,"¿Usted siente que su organización se beneficiará de prestar el PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico2_7e94d78,,
cimico202_4f8e42,imico_administrativo_pre,,radio,"¿Usted siente que prestar el PROGRAMA será bueno para la reputación de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico2_7e94d78,,
cimico203_029a3e,imico_administrativo_pre,,radio,"¿Usted cree que prestar el PROGRAMA ayudará a su organización a tener éxito?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico2_7e94d78,,
cimico204_0acd83,imico_administrativo_pre,,radio,"¿Usted cree que prestar el PROGRAMA ayudará a crear oportunidades para su organización (más financiación, visibilidad, oportunidades en investigación, reconocimiento)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico2_7e94d78,,
cimico205_1cc2c2,imico_administrativo_pre,,radio,"¿Le gustaría que su organización preste EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico2_7e94d78,,
cimico27_9f33ce,imico_administrativo_pre,"3. Qué tan apropiado

SOCIAL/CULTURAL",radio,"Dadas las otras necesidades de la gente en su comunidad, ¿valdrá la pena asignar el dinero y el tiempo necesario al PROGRAMA descrito?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico2_e71287,,
cimico28_7d66d5,imico_administrativo_pre,,radio,"¿El PROGRAMA encajaría con los valores culturales de las personas con las que trabaja en su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico2_e71287,,
cimico29_df8dca,imico_administrativo_pre,,radio,"¿El PROGRAMA será compatible con la cultura masculina en su país?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico2_e71287,,
cimico30_d396cc,imico_administrativo_pre,,radio,"¿El PROGRAMA será compatible con la cultura femenina en su país?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico2_e71287,,
cimico40_c94808,imico_administrativo_pre,"PERCEPCIÓN DE EFECTIVIDAD
",radio,"¿Usted cree que El PROGRAMA será una buena manera de abordar los problemas de salud mental de los pacientes?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico3_cea981,,
cimico41_746b47,imico_administrativo_pre,,radio,"¿Usted cree que el programa será útil para los problemas de salud mental de los pacientes que necesiten este tipo de servicio?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico3_cea981,,
