Variable / Field Name,Field Type,Field Label,"Choices, Calculations, OR Slider Labels"
oimico33_c373a5,radio,4.5. DIADA es cuál de los siguientes ...,"1, Solo medicación | 2, Uso de una app. | 3, Manejo por parte de un equipo | 4, Prefiero no responder"
oimico34_5168c7,radio,"4.6. ¿DIADA se enfoca en los pensamientos, sentimientos y comportamientos?","1, Sí | 2, No | 3, Prefiero no responder"
oimico35_fb5bb6,radio,5.1. ¿Es suficiente el tiempo total del personal de salud en su organización para implementar el PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico36_f28dc9,radio,5.2. ¿Es suficiente el tiempo total de supervisión en su organización para implementar el PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico37_8a7929,radio,5.3. ¿Es suficiente el tiempo total de apoyo administrativo en su organización para implementar el PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico38_5e3bf0,radio,5.4. ¿Tiene la organización presupuesto suficiente para implementar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico39_ab57b1,radio,5.5. ¿Proporciona la organización el dinero necesario para el transporte para implementar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico40_ca3a1d,radio,"5.6. ¿Provee la organización el equipo necesario (por ejemplo, lápices / bolígrafos / computadora / internet) para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico41_a3e1cb,radio,"5.7. ¿Proporciona la organización los recursos de comunicación necesarios (por ejemplo, teléfono, tiempo de conversación) para implementar EL PROGRAMA?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico42_d1aa0d,radio,5.8. ¿Tiene la organización tiene espacio privado para implementar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico43_5ad25b,radio,5.9. ¿Recibe el personal de esta organización su salario a a tiempo?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico44_7f786f,radio,5.10. ¿La organización tiene suficiente personal de salud para implementar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico45_886380,radio,5.11. ¿La organización tiene suficientes profesionales capacitados en el PROGRAMA para atender a quienes buscan servicios?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico46_d42f04,radio,5.12. ¿La organización tiene tiene suficientes supervisores para implementar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico47_0ea0f1,radio,5.13. ¿La organización tiene suficiente acceso a proveedores del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico48_fb4ad7,radio,6.1. ¿Están las personas de la comunidad al tanto de que los servicios del PROGRAMA están disponibles?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico49_c2618c,radio,6.2. ¿Los pacientes que buscan ayuda pueden comenzar EL PROGRAMA con poco tiempo de espera?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico50_e11d05,radio,6.3. ¿Usted cree que la mayoría de la gente en la comunidad buscaría los servicios del PROGRAMA si los necesitaran ?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico51_d3fdba,text,6.4. ¿Cuáles son las razones por las que no buscarían servicios?,
oimico52_eddc8d,radio,6.5. ¿Cree usted que las mujeres buscarían los servicios del PROGRAMA si los necesitaran?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico53_e509bc,text,6.6. ¿Cuáles son las razones por las que no buscarían servicios?,
oimico54_77a385,radio,6.7. ¿Cree usted que los hombres buscarían los servicios del PROGRAMA si los necesitaran?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico55_310d36,text,6.8. ¿Cuáles son las razones por las que no buscarían servicios?,
oimico56_51985a,radio,6.9. ¿Cree usted que los padres u otros cuidadores buscarían los servicios del PROGRAMA si  sus hijos  los necesitaran?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico57_6981b2,text,7.0. ¿Cuáles son las razones por las que no buscarían servicios?,
oimico60_7c2af6,text,7.1. ¿Quién no buscaría los servicios del PROGRAMA dentro de su comunidad?,
oimico61_1ba0fb,radio,7.2. ¿Su moral en el trabajo es alta?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico62_ab3f33,radio,7.3. ¿Su carga de trabajo es manejable (lo que significa que usted no se siente estresado o con demasiado trabajo)?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico63_a55d4c,radio,7.4. ¿Siente que está bien informado sobre las cosas que debe saber dentro de su organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico64_ca916e,radio,7.5. ¿Su organización le mantiene bien informado sobre lo que necesita saber para hacer su trabajo?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico65_d3f056,radio,"7.6. Cuándo tiene un problema en el trabajo, ¿sabe a quién acudir para obtener la respuesta?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico66_1cad78,radio,"7.7. Cuando tiene un problema, ¿es usted quien se encarga de buscar la persona responsable para solucionarlo dentro de su organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico67_bb2d74,radio,7.8. ¿La organización para la que trabaja promueve su crecimiento profesional?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico68_f2b2e9,radio,7.9. ¿La organización para la que trabaja es adaptable a sus necesidades?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico69_8ee2ab,radio,8.0. ¿Está satisfecho con la compensación monetaria que recibe por su trabajo?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico70_671aa6,radio,8.1. ¿Cuánto le importa la dirección y el éxito de la organización en la que trabaja?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico71_1925cf,radio,8.2. ¿Hay suficientes oportunidades de aprendizaje que se ofrecen a usted a través de su organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico72_ac9207,radio,8.3. ¿Tienen los líderes de su organización estándares de calidad claros para la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico73_5aacc1,radio,8.4. ¿Tienen los líderes de su organización un plan para facilitar la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico74_0339ee,radio,8.5. ¿Han eliminado los líderes su organización los obstáculos a la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico75_66a80b,radio,8.6. ¿Los líderes de su organización saben de qué están hablando cuando se trata del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico76_85f657,radio,8.7. ¿Los líderes de su organización están informados sobre EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico77_251cba,radio,8.8. ¿Los líderes de su organización están capacitados para responder a las preguntas del personal sobre EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico78_43609b,radio,8.9. ¿Los líderes de su organización apoyan los esfuerzos de los prestadores para usar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico79_c1c8d9,radio,9.0. ¿Los líderes de su organización apoyan los esfuerzos de los proveedores de salud y administrativos para aprender más sobre EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico80_e2ffed,radio,9.1. ¿Reconocen y aprecian los líderes de su organización los esfuerzos de las personas que participan en el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico81_fcd91d,radio,9.2. ¿Los líderes de su organización perseverarán a través de los altibajos de la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico82_a7e577,radio,9.3. ¿Los líderes de su organización continúan trabajando a pesar de los desafíos de implementar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico83_92dc5c,radio,9.4. ¿Los líderes de su organización abordan de manera efectiva las cuestiones cruciales relacionadas con la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico84_af6386,radio,9.5. ¿Usted cree que los líderes de su organización son buenos líderes?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico85_cc19e7,radio,9.6. ¿Usted cree que es fácil hablar con los líderes de su organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico86_20a51d,radio,9.7. ¿Usted cree que los líderes de su organización son confiables?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico87_9aa464,radio,9.8. ¿Usted cree que los líderes de su organización se comportan de manera que obtienen respeto de los miembros del personal?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico88_edfb7a,radio,9.9 ¿Los líderes de su organización toman las decisiones apropiadas para ayudar a asegurar el éxito del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico89_554c7b,radio,10.1. ¿Los líderes de su organización están abiertos a escuchar ideas que difieren de las suyas?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico90_ec022c,radio,10.2. ¿Los líderes de su organización ayudan a los miembros del personal a ver cómo las metas del programa se alinean con sus metas personales?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico91_8c281a,radio,10.3. ¿Los líderes de su organización hablan acerca de las metas para el futuro del programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico92_8b3403,radio,10.4. ¿Los líderes de su organización tienen estrategias para ayudar a alcanzar los objetivos del programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico95_d31ebe,radio,10.5. ¿Existiría un sistema para monitorizar los resultados del programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico96_f00eaa,radio,10.6 ¿La gente dentro de la organización monitoriza los resultados del paciente (ej. síntomas del pacientes)?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico97_cf7242,radio,10.7 ¿Las personas dentro de la organización supervisarían el número de pacientes atendidos por el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico98_636471,radio,10.8. ¿La gente dentro de la organización monitoriza las actividades clínicas (ej. qué se hace en consulta con los pacientes)?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico99_bc572a,radio,10.9. ¿La gente dentro de la organización monitoriza la calidad de los servicios que los pacientes reciben?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico100_d55ca9,radio,10.10. ¿Utilizaría la organización los resultados del programa para guiar la planificacion e implementavion del programa en el futuro?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico101_0790f9,radio,10.11. ¿Se compartirían los resultados de la evaluación del programa con los donantes (fuentes de financiación) y otros actores clave?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico102_f5ea13,radio,10.12. ¿La organización compartiría información sobre los efectos del programa con la comunidad en general?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico103_46d84a,radio,10.13. ¿Los hallazgos o problemas negativos del programa serían investigados y tratados de manera efectiva?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_104_3ec141,radio,10.14. ¿La organización monitoriza/hace seguimiento a las necesidades de la comunidad?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imjco_105_aa0bc5,radio,10.15. ¿La organización tendría un proceso para monitorizar cuáles cambios de programa se necesitan hacer?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_106_8b29ad,radio,10.16. ¿La organización tendría un proceso para adaptar el programa a las necesidades de la comunidad?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_107_9a5ed9,radio,10.17. ¿La organización tendría un proceso para adaptar el programa a las necesidades del personal de salud?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_108_9a2a5f,radio,10.18. ¿La organización tendría un proceso para adaptar el programa a las necesidades de la organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_109_bc6546,radio,10.20. ¿La organización tendría un proceso para adaptar el programa a las políticas gubernamentales?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_110_4f0e29,radio,10.21. ¿La organización tendría un proceso para eliminar partes del programa que son ineficaces y no deberían continuar?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_111_921e97,radio,10.22. ¿La organización tendría un proceso para adaptar la capacitación/entrenamiento del programa según sea necesario?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_112_8818c7,radio,10.23. ¿La organización tendría un proceso para adaptar la supervisión para el programa según sea necesario?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_113_76e85a,radio,10.24. ¿Los líderes de la organización comunicaría las ventajas del programa a otros dentro de la organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_114_d16022,radio,10.25. ¿Los lideres de la organización motivarían a la organización en general a tener un conocimiento más amplio del programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_115_cdb697,radio,10.26. ¿Los líderes de la organización comunican claramente la visión del programa al personal de salud y administrativo?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_116_bc24a7,radio,10.27. ¿El nivel de rotación del personal (salud) es manejable?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_117_f2600f,radio,10.28. ¿La organización tiene estrategias para ayudar a retener al personal (salud y administrativo)?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_118_9d7d8e,radio,10.29. ¿La organización tendría un forma para contratar rápidamente nuevo personal para el programa según sea necesario?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_119_1995e8,radio,10.30. ¿La organización tendría un sistema para formar/capacitar/entrenar al personal de salud o administrativo nuevo para el programa según sea necesario?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_120_99650c,radio,10.31. ¿El programa estaría bien integrado dentro de la operación de la organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_121_0a91cb,radio,10.32. ¿Los líderes de la organización manejarían con efectividad el dinero necesario para el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_122_84ae23,radio,10.33. ¿Los líderes de la organización manejarían eficientemente el personal y otros recursos?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_123_8516c5,radio,10.34. ¿Los líderes de la organización retroalimentarían al personal que participe en el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_124_2e8f28,radio,10.35. ¿Los líderes de la organización actualizarían a las personas nuevas en la organización sobre lo que es el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_125_ca37b5,radio,10.36. ¿La organización cmunicaría la necesidad del programa al público?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_126_2b77f6,radio,10.37. ¿Los líderes de la organización son capaces de comunicar de manera efectiva la visión del programa al público?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_127_410388,radio,10.38. ¿Se divulgaría el programa de una forma que genere interés?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_128_03ef59,radio,10.39. ¿La organización aumentaría el conocimiento de la comunidad sobre los temas que aborda el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_129_a5c11a,radio,10.40. ¿La organización demostraría el valor del programa a la comunidad?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_130_1556bd,radio,10.41. ¿La organización comunicaría la necesidad del programa al gobierno?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_131_96fe25,radio,10.42. ¿Los líderes de la organización son capaces de comunicar de manera efectiva la visión del programa al gobierno?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_132_7ab653,radio,10.43. ¿Se divulgaría el programa de una forma que genere interés entre los funcionarios gubernamentales?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_133_2a9595,radio,10.44. ¿La organización aumentaría el conocimiento del gobierno sobre los temas que aborda el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_134_19333e,radio,10.45. ¿La organización demostraría el valor del programa al gobierno?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_135_dfd836,radio,10.46. ¿La organización comunicaría la necesidad del programa a posibles fuentes de financiación?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_136_792670,radio,10.47. ¿Los líderes de la organización son capaces de comunicar de manera efectiva la visión del programa a posibles fuentes de financiación?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_137_9f7189,radio,10.48. ¿Se divulgaría el programa de una forma que genere interés entre posibles fuentes de financiación?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_138_3a323c,radio,10.49. ¿La organización aumentaría el conocimiento de posibles fuentes de financiación sobre los temas que aborda el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_139_26a663,radio,"10.50. ¿La organización sabe dónde buscar fondos (ej. para investigación, para sostenimiento del programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_140_90e321,radio,10.51. ¿La organización tendría un plan financiero a largo plazo para el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_141_0af789,radio,10.52. ¿La organización tendría un plan de sostenibilidad para el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imico_142_92e106,radio,10.53. ¿La organización cuenta con un proceso para integrar los intereses de los grupos de interés en la planificación estratégica del programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
oimico93_54c4d6,radio,10.54. ¿Cree usted que el PROGRAMA continuará después de que el apoyo externo termine,"1, No | 2, Sí | 3, Quizás | 4, No lo sé | 5, Prefiero no responder"
oimico94_f83bee,text,10.55. ¿Cuáles considera que son las barreras para la sostenibilidad del programa en la institución? ,
sostenibilidad_5c2f4a,text,10.56. ¿Qué significaría la sostenibilidad del modelo para la organización?,
interview_type_86235e,radio,Tipo de entrevistado,"1, Personal de salud | 2, Administrativo"
audioe_1_fadedb,file,Audio entrevista,
